Наслов,Опис,Категорија,Автор,Издавач,Година,Страници,Цена,Извор
Мачкино Око,"Вознемирувачки, смешен и сочувствителен роман, во кој една жена се обидува да ги одмрси замотаните јазли на својот живот.
Илејн Рисли е контроверзна сликарка што се враќа во Торонто, градот каде што ја поминала младоста, за да изврши ретроспектива на сопствената уметност. Но одеднаш ја обземаат живописните слики од минатото. Најсилното сеќавање ѝ е поврзано со Корделија, девојчето предводник на три девојчиња што кон неа се однесувале истовремено и многу сурово, но и многу полезно. Тие ја втурнале во тајните предели на детството, свет во кој таа ги осознала пријателството, копнежот и предавството. Илејн се наоѓа во фаза од животот во која мора да се соочи со сопствениот идентитет како ќерка, љубовница, уметник и жена, но пред сѐ, таа мора да побара ослободување од сопствените спомени што ја прогонуваат.",Романи,Маргарет Атвуд,Антолог-Боокс ДООЕЛ,,,600 Денари,knigamk
Книга На Спомените,,Романи,Јелена Б. Алимпиќ,Матица,,,390 Денари,knigamk
Црна И Сребрена,"Третиот роман на Паоло Џордано Црна и сребрена раскажува за интимниот живот на едно модерно младо италијанско семејство кое доживува криза по смртта на старата помошничка и дадилка на детенцето на семејството. Госпоѓа А. е повеќе од домашна помошничка таа е стожер на семејството единствениот сведок на врската што ги спојува.
Црна и сребрена е меланхолична љубовна приказна, раскажана со префинет и интимен јазик и – за првпат во творештвото на авторот – во прво лице. Џордано се сосредоточува на надворешните подробности, меѓутоа ги користи за да ги долови со нив внатрешните светови на своите ликови, нивните заемни односи или стравови. Кога семејството ќе ја загуби госпоѓа А., ненадејно чувствува празнина што не може да се пополни. Но младата двојка допрва треба да согледа дека нејзината сила веќе е дел од нив.",Романи,Паоло Џордано,Паблишер,,,250 Денари,knigamk
Правта На Библиотеките,"Кој не умрел во книжевното дело, нема да умре никогаш.
Големото „петокнижје“ на Митко Маџунков почнува со Времето на ирвасите, по што следуваат Птиците од ланските гнезда, Непостојната книга (необјавено), Правта на библиотеките и Времето пред приказната. Со двојното појавување на поимот „време“ во самите наслови на делата, на почетокот и на крајот од циклусот, се подвлекува и една од централните теми на оваа, во нашата книжевност единствена романескна целина. Станува збор за грандиозно дело кое ќе се коментира во времињата што се пред нас, и од кое ќе се бараат решенија и насоки. Во Правта на библиотеките, наспроти „лажниот“ Дон Кихот како редукција на донкихотските вредности во
нашиот свет, се појавува „вистинскиот“ Дон Кихот кој низ каталошкиот книжен виор слегува во подземјето, каде што, со другите ликови на делото, води битка за „спас на светот“ преку книгата и сè она што таа го олицетворува.
Акад. Георги Старделов
Кога беспоговорно би го следеле Хорациј, би рекле дека Митко Маџунков напишал совршено дело за меморијата и антимеморијата! И тоа би било доволно. Но Правта на библиотеките е нешто повеќе од тоа. Овој роман на Маџунков е антологија на суштествувањето составена во најголем дел од самите ликови во романот. Како секоја базична книга, романот го поставува и прашањето каде оди
овој обездушен и обескнижен свет базиран врз рециклирање, и каде во тој свет се малите народи и нивниот идентитет?... Во тој вител на чудесни и чудни глетки и привиденија, се чини дека наративната оска постојано е вкопана во македонската почва.
Блаже Миневски",Романи,Митко Маџунков,ТРИ,,,500 Денари,knigamk
Ова Мое Срце,"Моли Сомервил има репутација на бељаџика. Има нешто што внатрешно ја јаде и одвреме-навреме ѝ создава нагони за правење проблеми и бељи, а предзнак за тоа обично е менувањето на фризурата. Но добро, никој не е совршен. Инаку, може да се каже дека има скоро идеален живот. Ја обожава својата работа, својот тешко заработен стан, својата француска пудлица, па дури и сестра си во чија сенка живее цел живот, бидејќи не е толку убава, успешна и гламурозна како неа.
Единствениот проблем ѝ е тоа што е безнадежно вљубена во страшно згодниот и популарен рагбист, Кевин Такер, со кој едноставно нема никаква шанса. Тој не ѝ го знае дури ни името!
Една вечер, нејзината склоност кон правење глупости ја вплеткува во комплицирана ситуација со Кевин, па нејзиниот свет одеднаш се превртува наопаку. Една грешка, една непромислена глупост, целосно им ги менува животите на двајцата и прави човекот што го сака да ја замрази.",Љубовни романи,Сузан Е. Филипс,Сакам книги,,,390 Денари,knigamk
Луѓе Без Минато,"Луѓе без минато е роман за универзалната апсурдност на историските епизоди во кои е вклештен малиот, обичен човек. Зад лажната слика на редот се крие поинаква суштина. Таа отвора низа прашања за трагичната судбина на беспомошните единки затечени во настаните што водат во ќор-сокак.
Во безизлезот на пеколот, Роберт Новак и неговата генерација се втурнати во бесмислена војна од чиј хаос во сеќавањето им остануваат болни слики и судбински средби. Во мракот на немоќта и верноста кон идеолошките вредности, кога се распаѓа нивната држава, слепи се за границите на вистината со која немаат храброст да се соочат. Но сепак, на крајот од тунелот проблеснува светла точка која ја буди надежта за подобро утре.
Луѓе без минато е роман за човечките врски, за фаталните јазли на идеологијата во кои е заробен личниот живот, за ужасните лаги и предавства што го пресоздаваат злото. А единствениот противотров за него е едноставната и чиста човечка суштина.",Романи,Ивица Челиковиќ,Паблишер,,,250 Денари,knigamk
Ланзароте,"Краткиот роман Ланзароте на водечкиот современ француски писател Мишел Уелбек е исклучително моќно дело напишано во познатиот остар и шокантен стил на авторот. Познавачите на неговото дело ќе забележат дека оваа новела е основата за популарниот роман Можноста на еден остров но таа секако може да се чита како автономно дело и како успешен литерарен експеримент на контроверзниот Уелбек.
Ланзароте е колоритен, динамичен и шокантен краток роман кој прави пародија на жанрот авантуристички роман и се обидува да ја долови бесмислата на нашето апокалиптично време. Дејството се случува на шпанскиот остров Ланзароте, позната туристичка локација каде што главните ликови се впуштаат во низа авантури, за да се соочат конечно со една чудна религиска секта која верува во крајот на светот. Без оглед на тоа дали ќе го наречеме сатира или своевиден опозит на „новата морална авангарда“, Ланзароте е одличен пример за невообичаените ставови на Уелбек во врска со проблемите кои ја опседнуваат епохата во која живееме.
Освен краткиот роман Ланзароте, оваа книга е збогатена и со неколку брилијантни раскази на Уелбек, во кои тој се занимава со темите што постојано го окупираат неговото дело, како што се книжевноста, сексот, смислата на животот, смртта и длабочината на отуѓувањето на современиот човек од неговата околина.",Романи,Мишел Уелбек,ТРИ,,,280 Денари,knigamk
"Јас, Тито И Мики Маус","Сатиричниот роман Јас Тито и Мики Маус е без конкуренција во овој жанр во македонската современа литература.
Приказната се случува во едно мало селце на Балканот каде што повремено доаѓа некакво заталкано патувачко кино кое, најчесто, прикажува само цртани филмови. Соживувајќи се со филмовите, луѓето, особено старците и неколкуте деца што живеат во местото, постепено почнуваат да се идентификуваат со јунаците на цртаните филмови, а фикцијата полека се меша со реалноста, па веќе не се знае што е фикција, а што реалност. Притоа разградувањето на стварноста од нејзините банални стандарди и стереотипи, било историски, било граѓански, било семејни, е изведено исклучително успешно со еден инвентивен хумор и разорна иронија, коишто, во крајниот ефект, всушност се катарзични, здрави и исцелителни.
Приказната блика од хумор и сатира која брилијантно, на крајно инвентивен литерарен начин, ја демистифицира балканската митоманија, потврдувајќи го уште еднаш раскажувачкото мајсторство на Блаже Миневски како врвен македонски прозаист.
Романот Јас, Тито и Мики Маус е мајсторска проза за чудесното опредметување на недофатливата реалност.",Романи,Блаже Миневски,ТРИ,,,250 Денари,knigamk
И Ѕирка И Проѕирка,"Секој има своја приказна. Ѝ се навраќа низ спомените, низ она што од мноштвото настани и чувства ќе исплива на површината на сегашноста. Во неа – врвулица луѓе, живи и починати, значајни и случајни. Ако ја одмолчи, може да си ја стокмнува по свое, секогаш различна, барем во нешто. Да се изземе себеси, да си се придодаде, да се разубави или нагрди. Ако ја стави на хартија, ја споделува за други да ја достокмуваат, по мерка на својата. Во мојава, дадена низ сликички, некој ќе се препознае, нешто ќе го мисли за свое, нешто ќе му се растајни, нешто ќе му се заплетка. Ликовите се и измислени и вистинити. Сличноста е и случајна и намерна. Читателот треба да домисли.",Романи,Огнена Никуљски,Антолог-Боокс ДООЕЛ,,,300 Денари,knigamk
Срце Од Мастило,"Дванаесетгодишната Меги неочекувано дознава за необичната дарба на својот татко Мо – кога чита наглас, тој ги оживува ликовите од книгите. Една дамнешна вечер тој толку вдахновено ѝ читал од Срце од мастило што неколку негативци од книгата влегле во нивниот живот. А потоа Мо открива нешто уште пострашно – во мигот кога ги „исчитал“ злобниот Каприкорн и неговиот помошник, во книгата ја „вчитал“ Мегината мајка!
Опкружени со своите книги, Меги и татко ѝ не ни сонуваат дека наскоро од корен ќе се променат нивните животи. Каприкорн со години трага по книговезецот Мо сакајќи да ја искористи неговата дарба за остварување на своите мрачни цели. А кога ќе успее да го киднапира, Меги и нејзините реални и измислени пријатели тргнуваат во авантура за каква што дотогаш само читала во своите книги – за да го спаси саканиот татко и да ја затвори последната страница од магичната книга.
Безвременска приказна за книгите, имагинацијата, животот. Би се осмелиле ли да ја прочитате наглас? Гуд ридс
Неверојатна приказна попрскана со малку волшебна прашина. Њујорк тајмс",Романи,Корнелија Функе,ТРИ,,,500 Денари,knigamk
Изворите На Влтава,"„Изворите на В’лтава“ базично му припаѓа на детективскиот жанр, но се надоградува како историско-политички трилер.
Зад приказната за пронаоѓањето на мртвата девојка Тереза Велкова една студена ноќ во Шумава и истрагата за нејзината смрт, се откриваат долго премолчуваните вистини за воените злосторства во чешко-германскиот граничен регион. Убиената девојка е пронајдена во затвореничка облека на риги со еврејски амблем. Изнурнуваат приказните за подземни тунели, за тајна нацистичка фабрика за авионски делови и за логор кој не бил никаде евидентиран и за чии жртви не постои никаква трага. Старите приказни влијаат врз животите на новите генерации што живеат во таа област. Духот на наследените нетрпеливости ја интензивира поделеноста на заедницата и овозможува понирање во длабоките слоеви на психолошките профили на главните ликови на приказната.
Романот се има закитено со почесното признание „Јиржи Марко“, награда која се доделува за најдобриот детективски роман во Чешка.",Романи,Петра Клабоухова,Антолог-Боокс ДООЕЛ,,,400 Денари,knigamk
Кошмар,,Трилери,Лаш Кеплер,Матица,,,450 Денари,knigamk
Долга Реса Крај Морето,"Приказна за љубовта, пријателството, надежта и егзилот, која е актуелна и денес, и покрај тоа што се одвива во минатото.
Кон крајот на граѓанската војна во Шпанија, илјадници луѓе ја напуштаат земјата и преку Пиринеите бегаат во Франција. Меѓу нив се наоѓаат Росер, млада бремена жена, и Виктор Далмау, воен лекар и брат на загинатиот татко на детето на Росер. Со цел да преживеат, принудени се да склучат договорен брак. Потоа, заедно со уште две илјади шпански бегалци, успеваат да се качат на легендарниот брод „Винипег“, со кој познатиот поет Пабло Неруда, еден од ликовите во романот и чилеански конзул во Париз во тоа време, ја организира нивната евакуација во Чиле, држава што самиот Неруда ја опишува како: „Долга реса крај морето“.
На новиот континент тие мора да се соочат со многу предизвици и во текот на неколку децении успеваат да живеат интегрирани во новата татковина, сè до државниот удар што ќе го собори претседателот Салвадор Аљенде, пријател на Виктор во играњето шах. Виктор и Росер повторно мора да го напуштат домот, но потоа, како што вели авторката: „Ако човек живее доволно долго, круговите се затвораат“.",Романи,Изабел Аљенде,Антолог-Боокс ДООЕЛ,,,450 Денари,knigamk
Се Уште Можам Нешто Да Сторам,"…јас никако не успевав да се ослободам од чувството дека исчезнувам. Кога почнував да зборувам, моите зборови наместо до ушите на присутните, се протнуваа низ еден, за нив недостапен тунел, излегувајќи токму на лисјата од дрвата пред нас, патуваа носени од ветрот преку грмушките што го обрабуваа тревникот во нашиот видик, сѐ до излезот на паркот, право во контејнерите на уличката.
Исто беше и со мојот лик, моето тело што се замрзнуваше и стануваше само рамка од неподвижна слика, толку несмасно потпрена на штиците од клупата, што сите околу мене се наведнуваа и ги искривуваа вратовите само за да ја избегнат додека се обидуваат меѓу себе да се гледаат. Тие избегнуваа да гледаат во мене, ме заобиколуваа како да бев јас некаква препрека.
А јас, без мојот глас и присуство и без само мојот образ, немоќно тонев во лулката која висеше на дебел синџир и осцилираше помеѓу ѕидот на конфузноста во кој сите тие денови си ја удирав главата и оној на бесот поради моето исчезнување што сега толку моќно ја обземаше секоја во мене присутна клетка.",Романи,Фросина Пармаковска,Или-Или,,,399 Денари,knigamk
Пчеларот Од Алепо,"Бегството не е само пронаоѓање засолниште, туку и на себеси.
Неверојатно длабока животна приказна за една мајка ослепена од трагедиите што ќе ги види, и татко кој се бори за нивно преживување среде сириската патека за бегалци во Европа. Нури е пчелар, а неговата жена Афра е уметник. Живеат мирен живот полн со љубов во прекрасниот сириски град во Алепо, додека не се случи незамисливото – започнува војна. Принудени да го напуштат животот кој го познаваат, тргнуваат на опасно патување кон неизвесната иднина во Велика Британија.
На тоа патување низ светот што се распаѓа тие не се соочуваат само со болката од огромната загуба, туку и со опасности што би ги исплашиле и најхрабрите. Избегнувајќи ги замките и заканите на бегалските патишта, тие истовремено патуваат и еден кон друг, тешејќи се и наоѓајќи сили да ги прифатат новите делови од себе.
Потресна и моќна, прекрасно напишана книга која е сведоштво за триумфот за човековиот дух.
„Создавајќи ликови со толку богати, комплексни внатрешни животи, Лефтери ни посочува дека е доволно да покажеш сочувство за еден човек, за тоа да се прошири на милиони.“
Тајм",Романи,Кристи Лефтери,ТРИ,,,450 Денари,knigamk
Човек Во Лавиринтот,,Трилери,Донато Каризи,Матица,,,490 Денари,knigamk
Книга на спомени,"„Богата приказна, лична, сепак универзална, раскажана со многу имагинација, која го нурнува читателот длабоко во книгата.“ – Британски издавачки билтен
  „Ексцентричен, комичен роман…“ – Њујорк тајмс бук ривју",Фикција,Ана Марија Шуа,Антолог,2014.0,224.0,200 Денари,antolog
Конци на судбината,"Возбудлив историски и шпионски роман во кој се испреплетуваат високата мода, политичките заговори и тајните служби. Младата шивачка Сира Кирога во 1936 година го напушта Мадрид спроти граѓанската војна за да замине со Рамиро, човек кого го познава кратко и во кого е лудо вљубена, оставајќи ги зад себе свршеникот и самохраната мајка. Се сместуваат во Тангер, светски и егзотичен град, во кој на почетокот водат живот од приказните.
Таму Сира доживува тешко предавство и останува сама и со многу долгови, принудена да се пресели во Тетуан, каде што со помош на пријатели со сомнителен углед отвора модно ателје за отмени клиентки. Пред крајот на граѓанската војна и во текот на подготовките за Втората светска војна во Европа, судбината ја поврзува со важни историски личности, меѓу кои Хуан Луис Бајгбедер, загадочниот министер за надворешни работи на Франко, Росалинда Фокс, неговата љубовница, и поморскиот аташе Алан Хилгарт, шефот на британското разузнавање во Шпанија. Тие ќе ја втурнат во тајна мисија чиј параван ќе биде нејзиниот занает.
Книга што ја издигна Марија Дуењас на врвот на најчитаните автори во Шпанија.
„Чудесен роман, исполнет со интрига, љубов, тајни и нежност.“ – Марио Варгас Љоса",Фикција,Марија Дуењас,Антолог,2021.0,624.0,650 Денари,antolog
Мрачен мотив,"(#1 Арманд Гамаш)
Добре дојдовте во светот на брилијантниот детектив со необичен ум – инспектор Гамаш, легенда од рангот на Херкул Поаро и Шерлок Холмс!
Во планинските предели на Квебек се наоѓа идилично канадско селце, кое нема да го најдете на карта. Таму животот е толку спокоен, што локалните жители не ги заклучуваат вратите. Сѐ додека едно утро омилената и почитувана сликарка Џејн Нил не е пронајдена мртва во шумата. Прободена со стрела во срцето. Случајот е предаден на блескавиот главен инспектор од одделот за убиства, Арманд Гамаш. Вистинска знаменитост во полициските кулоари, проникливиот детектив доаѓа од Монтреал за да ја разгатне мистеријата. Жителите се убедени дека станува збор за несреќен случај за време на лов, но Гамаш брзо открива дека во наизглед тивкото село секој има своја тајна и маска. И дека клучот на загатката се крие во една слика на сликарката, создадена кратко пред да умре.",Фикција,Луиз Пени,Антолог,2017.0,336.0,400 Денари,antolog
"Пченкарнозлатна коса, сиви очи","Во Англија во 1962 година е пронајден мртов Исланѓанец. Во возот полицијата наоѓа и мапа со исцртана свастика со црвено пенкало. Кој е тој и каде одел?
Романот, кој е своевидна биографија и мистерија, ја раскажува приказната за Гунар Кампен, основачот на исландската антисемитска националистичка партија што одржувала врски со широката мрежа сродни групи низ светот.
Уште како младо момче Гунар се интересира за луѓето и за тековните прашања во земјата и во странство. Живее со својата грижлива мајка, двете сестри и брат му, кои го опсипуваат со љубов и со грижа, а и тој самиот е внимателен брат и син. Но, во пролетта 1958 година, ја основа антисемитската политичка партија на националистите и започнува да придонесува кон брзорастечката светска организација на неонацисти.
Во текст што осцилира од поетски слики од детството до мрачни мисли, Сјон го испитува животниот тек на протагонистот. Истовремено, се поставува прашањето дали Гунар Кампен е толку едноставен како што изгледа на прв поглед.
Провокативен роман за мистериозниот исландски неонацист и глобалната опседнатост со оваа доктрина. Мајсторски напишано ремек-дело, кое долго ќе ве прогонува.
  *Книгата е достапна со потпис од авторот. Во коментар за нарачката нагласете доколку сакате да добиете потпишан примерок.",Фикција,Сјон,Антолог,2021.0,112.0,250 Денари,antolog
Стаклената река,"Што се крие зад буквите ND издлабени во темелите на православен храм? Какви се чудните камени статуетки на црквата во село Градиште и чиј е духот што броди во неа? Пред овие прашања стои младата Французинка Елен Тибо, која пристигнува во Бугарија за да најде траги од доцното богомилство. Овде Елен сретнува група студенти што ја реставрираат црквата заедно со својот професор Стефан Методиев. Откако ќе се смести во куќата на баба Монка, каде што е сместена и убавата сликарка Марица, Елен се запознава со Виктор Марков.
Започнуваат да се случуваат невообичаени нешта што ги вовлекуваат во мистериозни случувања што го запираат здивот. Соништа, преданија и реалност измешани во едно ужасувачко дводневно патување во земниот пекол на љубовта и страста.
Емил Андреев мајсторски раскажува и гради една естетика на ужасот, напнатоста и загатката. Романот е истовремено и мистичен, и авантуристички, и готски, и историски!",Фикција,Емил Андреев,Антолог,2019.0,228.0,250 Денари,antolog
Куклата,"#5 ДЕТСКАТА КУЌА
Требаше да биде тивко семејно патување со риболов, можност за мајката и ќерката да разговараат, но тоа засекогаш ги менуванивните животи!
Не уловуваат ништо освен една скршена кукла што се заплеткува во мрежата. По години минати во океанот, куклата изгледа застршувачки и првичниот инстинкт на мајката е да ја фрли назад.Попушта откако ќерка ѝ инсистира да ја задржат. Истата вечер, мајката објавува фотографија од куклата на социјалните мрежи. До следното утро, таа е мртва, а куклата е исчезната.
Неколку години подоцна, Хулдар е на своетонајомразено место – брод во разбранувани води, барајќи човечки остатоци. Меѓутоа, идентификувањето на скелетот што ќе го пронајдат се покажува потешко отколку што првично мислеле и Хулдар мора да го повика искуството на Фреја. Како што се продлабочува мистеријата, Хулдар е вовлечен во истрага на убиство на бездомен зависник од дрога, а Фреја истражува можен случај на сексуална злоупотреба во дом за сираци.
Наскоро станува очигледно дека овие случаи се поврзани преку еден исчезнат сведок: девојчето што ја посака куклата пред сите тие години.
Напната, застрашувачка и невозможна да се остави, „Куклата“ ја цементира репутацијата на Ирса Сигурдардотир како маестро на раскажувачка тензија и изненадување.
*Книгата е достапна со потпис од авторот. Во коментар за нарачката нагласете доколку сакате да добиете потпишан примерок.",Фикција,Ирса Сигурдардотир,Антолог,2022.0,400.0,500 Денари,antolog
"Волга, Волга","Уште еден фантастично напишан роман од Миљенко Јерговиќ!
Секој петок, Џелал Пљевљак патува 116 километри со својата црна волга, од Сплит до Ливно. Оди во џамија и се враќа назад. И така едно 15 години. И кога мисли дека веќе ги познава секое дрво и секоја куќа покрај патот, му се случува нешто што ќе му го смени животот засекогаш. Го зафаќа типична босанска снежна бура и патот ќе го навее во селото Фатуми.
Пет години подоцна, 1993, во текот на најсуровиот дел од војната во Босна, еден неименуван документарист се обидува да ја реконструира приказната со која јавноста опсесивно се занимавала до не толку одамна. Приказната за човекот кој станал последна и најголема ѕвезда во историјата на црните хроники на овие простори.
Потресната животна сторија за осаменоста е поделена во три дела и е доволно загатлива за да го вовлече читателот во себе, но исто толку отворена за да не може да се остави и да се излезе од неа. Јерговиќ повторно си игра со документите, си игра со перспективите, со точките на гледиште. Не се знае докрај кој ја зборува вистината, што е вистината, кој има право, има ли виновници воопшто. Ова е свет со комплексни ликови во кој е сѐ дозволено и е сѐможно, свет во кој човековата природа е внимателно истражена и е длабоко нурнато во темниците на човековиот ум.",Фикција,Миљенко Јерговиќ,Антолог,2023.0,272.0,450 Денари,antolog
Баксузи,"Во „Баксузи“ писателот се враќа на своето родно место, каде што организираат бурлескна манифестација, Тур де Франс на пијаниците. Се запознаваме со татко му, Пјер, кој во поштенска торба на велосипедот го носи своето тукушто родено синче по сите кафулиња за да им го покаже на своите пријатели. Да не ги заборавиме и неговите мрзливи чичковци, за кои светското првенство во чашкомет е највисоката цел, а мотото е „Денот е пред нас, а ние се трудиме да го потрошиме“. „Баксузи“ е моќна трагикомична ода на безделништвото во најекстремната форма, а истовремено и смешно претставување на младоста. Верхулст е моќен стилист, кој со чувството за динамика и наративна сила го задржува интересот на читателите од првата до последната страница.
Според автобиографискиот роман „Баксузи“ е снимен истиоимениот филм од 2009 година, награден и на Канскиот фестивал.",Фикција,Димитри Верхулст,Антолог,2014.0,192.0,200 Денари,antolog
Жената во кафезот,"СВЕТСКИ БЕСТСЕЛЕР
#1 СЕКТОРОТ Q
Прогонувана. Киднапирана. Но достоинствена. И борбена. Гребе со ноктите по голите ѕидови на просторијата во која е заробена додека прстите не почнат да ѝ крвават. Нема начин да одреди колку е часот или кој ден е, па неделите и месеците минуваат како на бескрајна лента. Прикриениот глас во темнината е груб и немилосрден. Вели дека сето тоа ќе престане кога ќе му одговори на едно едноставно прашање…
Детективот Карл Морк се враќа на работа по подолго отсуство поради престрелка во која едниот од неговите колеги останува парализиран, а другиот е убиен. Карл се обвинува себеси, а колегите почнуваат да го избегнуваат. Шефот го преместува во новоформираниот сектор за нерешени случаи надвор од Копенхаген, наречен секторот Q. Како единствен вработен во овој сектор му е назначен сирискиот имигрант Асад, кој всушност е чувар, но се покажува како талентиран и надарен детектив.
Карл одново ја започнува истрагата за случајот со исчезнатата млада политичарка Мерете Лингор. Таа исчезнала пред пет години и се претпоставува дека е удавена, но нејзиното тело никогаш не е пронајдено. Карл смета дека нешто е пропуштено во истрагата. Навистина, Мерете не е мртва. Сè уште не!
Веднаш по објавувањето, книгата се искачила на првото место на топ-листите и се задржала на врвот на бестселери цела година! Според книгата е снимен и филм.",Фикција,Јуси Адлер-Олсен,Антолог,2017.0,406.0,450 Денари,antolog
Најдено-загубено (I издание),,Фикција,Жарко Кујунџиски,Антолог,2008.0,128.0,200 Денари,antolog
