Наслов,Опис,Категорија,Автор,Издавач,Година,Страници,Цена,Извор
Мила Стела доста лаеш,"Еден татко се обидува да го заспие своето дете, но во тоа го спречува нивното куче Стела, кое постојано лае. Секогаш се случува нешто неочекувано во вистинскиот и во имагинарниот свет на Стела. Дали е тоа баба која доаѓа да и даде мисиркино месо или, пак, се верверици кои си прават легло во тостерот? Најдобро е да се залае, за секој случај. Секој што се обидел да заспие дете, знае колку е кревка таа ситуација. „Мила Стела, доста лаеш!“ е поинаква приказна за заспивање, полна со топли чувства и забавна мешавина од познато секојдневие и фантастични лудории.",Сликовници,"Тед Форстром, Оса Лукандер",Арс Ламина,2024.0,36.0,250 Денари,literatura
Книга торбичка - Моќни машини (книга со лепенки и активности),"Книга со лепенки и активности за деца над 3 години. Многу лепенки и активности се кријат во оваа светкава книга-торбичка. Учиме, лепиме, се забавуваме и се дружиме со волшебните еднорози!",Книги со активности,Група автори,Топер,,,120 Денари,literatura
Животните од Антарктик - Пиши-бриши,"Повлечи линија на небото по која летаат албатросите, заокружи ги трите срца на најголемата лигна на светот и научи дека и најголемите суштества имаат свои мали тајни. Со овие едноставни и забавни активности, подредени по тежина, вежбанката ќе им помогне на децата од предучилишна возраст да ја вежбаат раката, да се навикнат на приборот за пишување и да стекнат самодоверба во првите чекори во цртањето и пишувањето, преку: • Почетно пишување разни видови линии (прави, коси, заоблени, брановидни и цикцак); • Слободно пишување линии; • Развивање на фините моторни вештини на мускулите на рацете и прстите (графомоторни вештини); • Можност вежбата да се повтори повеќепати и детето да се коригира самостојно.",Пиши-Бриши книги,Оливера Ќорвезироска,Арс Ламина,2023.0,23.0,299 Денари,literatura
Новогодишна боенка со стихови,Boenka so stihovi za deca preduchilishna vozrast,Боенки и цртанки,Ели Маказлиева,Едука Мак,2022.0,20.0,100 Денари,literatura
Сказнобус ; Песноград,,Поезија за деца,Велко Неделковски,Арс Ламина,2023.0,,250 Денари,literatura
Размислувај како гениј (Јуниор),"Малиот Алберт не може да ја најде пријавата за СУПЕРГОЛЕМАТА ИГРА, која ја организира неговото училиште. Покрај него се група неврони, кои му помагаат да ја најде исчезнатата пријава: МЕМО, невронот за меморија, НУЛА, невронот на броевите, АМЕРИГО, невронот на истражувањето, и ДАНТЕ, невронот на зборовите. Низ различни активности и многу игри, тимот од неврони ќе му помогне на Алберт, а со него и на малиот читател, да го вежбаат умот за да ги решаваат загатките - препреки на кои ќе наидат во нивната авантура.",Книги со активности,"Карло Карцан, Соња Скалко",Арс Ламина,2024.0,64.0,300 Денари,literatura
Магичниот тапан,Биби и Боби заедно со Фи и Бу тргнаа во магична пролетна авантура. Тие се тим што има многу важна мисија. Ќе успеат ли да ја победат лошата вештерка и да ја вратат пролетта во преубавиот Галичник.,Сликовници,Бојан Трифуновски,Светот на Биби,2023.0,32.0,200 Денари,literatura
Ти носам пустински песок,"Таа е неговата најнај другарка, тој нејзиниот најнај другар. Се викаат Стела и Сани, а меЌу себе Јасти и Тијас. Родени се на ист ден, во иста година, во ист час. Исти им се и имињата. Свездени.ѓивеат во исто маало, учат во исто одделение, исти нешта ги интересираат. Изгледа дека ништо не би моело да ги раздели, па сепак... Кога ќе се најдат илјадниcи километри далеку еден од друг, продолуват да се друат преку мејлови. Но колку моат тие да им ги надоместат ивите средби, гушкањата, заедничката смеа, солзите, воздишките?... ""е се смени ли нешто меЌу нив? Дали ќе успеат да ја одрат блискоста? На прагот се од тинејxерската доба со неброени прашања без одговори. И премногу си недостигаат. Ех, само кога повторно би се виделе!",Романи за деца,Винка Саздова,Издавачки центар ТРИ,2021.0,176.0,300 Денари,literatura
Возбудливи активности - Светот на еднорозите,,Книги со активности,,,,,99 Денари,literatura
Гатанки мали одговор им фали 2,"Во книшкава ќе најдеш петнаесет гатанки и, се разбира, петнаесет одговори претставени со весели цртежи. За да го дознаеш одговорот на секоја гатанка, само треба да завртиш на следната страница.",Сликовници,Ванчо Полазаревски,Чудна Шума,2023.0,32.0,150 Денари,literatura
