Наслов,Опис,Kатегорија,Автор,Издавач,Година,Страници,Цена
Ананка,"Животот и судбината на Ананка започнуваат со вознесот на животот и заветот за вечна љубов. Тоа е живот што се одвива во егзил и во постојан судир на злото со пацифизмот.
Животот на ликовите од романот Ананка е реална приказна од животот на Ромите од Топаана, една од најстарите населби во Скопје, во која со векови живеат во заедница многу  етникуми. Топаана е олицетворение на космополитизмот.
Ананка го доживува виорот на војната без својот љубен, кој е југословенски кралски војник, заробен, и кој останува во воено, а потоа уште неколку години и во морално-духовно доброволно заробеништво во Германија.
Ананка молчешкум го продолжува својот живот, но таа е свесна, достоинствена, трпелива  и нема да дозволи повторување на семејната трагедија, а со тоа и на историјата на Македонија.
Таа оди да го избави својот внук од побунетиот Сплит, во време на распадот на СФРЈ.
Овој роман не зборува за асоцијалните проблеми на Ромите, туку за Ромите што живеат во Македонија, за изворниот бит на Ромите и за нивната поврзаност со човештвото, со космосот и со вечноста.",Фикција,Јусуф Сулејман,Антолог,2017,240,"300,00 Денари"
Спомените на бабичката Лу,"Емотивна книга во која се испреплетуваат неколку трогателни животни стории. Паралелно со спомените од минатото на осамената старица Лу следиме две прекрасни и топли љубовни приказни, а ја откриваме и големата тајна од нејзината младост. Минатото и сегашноста си поигруваат во овој возбудлив роман, оставајќи нè без зборови пред сите животни одлуки и перипетии со кои се соочуваат ликовите.
Обични, но исклучителни животи; секојдневни, но посебни луѓе; различни животни судбини поврзани низ спомените на една добродушна бабичка.",Фикција,Викторија Адамс,Антолог,2019,156,"200,00 Денари"
Остатоци од светот,"Драматична и потресна сага за „векот на логорите“, како што уште се нарекува XX век. Човековата трагична судбина од Шпанската граѓанска војна преку Јасеновац и Блајбург, Кравица и Сребреница, сè до бомбардирањето на Србија од страна на НАТО, се одвива на големите платна на толеранцијата, опстанокот и болката. Главната протагонистка на романот со својот чудесен ерос воспоставува баланс помеѓу темнината и светлината нудејќи надеж во спасувањето на невиното, или барем инаков поглед на она што останало во „остатоците од светот“.
„Несомнено најдобриот роман на Игор Маројевиќ досега.“ – Зоран Богнар
„Еден од најдобрите српски романи во XXI век.“ – д-р Игор Перишиќ",Фикција,Игор Маројевиќ,Антолог,2024,334,"500,00 Денари"
Скарлетна студија,"Првото дело во детективската серија за Шерлок Холмс кој го воведува читателот во неговиот енигматичен универзум.
Кога д-р Џон Вотсон доаѓа да живее на улицата „Бејкер“ со Шерлок Холмс, нема претстава дека штотуку навлегол во еден нејасен свет на криминал и насилство. Придружувајќи го во една злокобна куќа во јужен Лондон, Вотсон запрепастено открива мртовец чие лице е згрчено во ужас. На телото нема траги од насилство, додека на ѕидот со крв е напишан еден единствен збор. Доктор Вотсон е еднакво збунет како и полицијата, но брилијантните аналитички вештини на Шерлок наскоро ќе го расплеткаат клопчето на убиството, одмаздата и изгубената љубов. 
„Скарлетна студија“ е запознавање со познатото дуо – ликовите на Шерлок Холмс и д-р Џон Вотсон. Мистеријата околу откривање на извршителот на убиството случено под неразјаснети околности набрзина ги претвора во најдобри пријатели, а целата истрага води кон испишување на студија на случај наречен „Скарлетна студија“.
„Холмс!“, извикав. „Ти ли си? Зарем е можно да си жив? Можно ли е да си успеал да се искачиш од тој ужасен амбис?“",Фикција,Артур Конан Дојл,Антолог,2024,144,"300,00 Денари"
Зулејха ги отвора очите,"Приказната започнува во мало татарско село во 1930 година. Микрокосмос во кој жената е објект на постојано понижување. Но ова не е патријархален роман. Ова е женски роман во најубавата смисла на зборот. Бидејќи главен херој е зеленооката Зулејха.
Жена што ќе го посведочи убиството на сопругот од страна на комунистите и жена што ќе го преживее прогонството на Сибир. И така засекогаш ќе го напушти родниот микрокосмос.
Таа е принудена на мачно патување со товарен воз до најоддалеченото место на бреговите на реката Ангара во Сибир. Животните услови во руската тајга носат сосема поинаква тежина. Многумина не ја преживуваат долгата зима. Тоа е средина составена од: селани, интелектуалци, криминалци, чесни луѓе, муслимани, православни, атеисти, Татари, Руси и Германци. Во групата на Зулејха има еден напорен доктор, еден сликар, еден пар, еден криминалец, но и – Игнатов, убиецот на нејзиниот сопруг. Заедно започнуваат да градат нов живот, далеку од своето минато. Заедно мора да создадат – љубов!
Зошто Зулејха ги отвора очите? Токму за љубовта, за мајчинството, за слободата, за борбата за живот.
Романот е добитник на двете најважни книжевни награди во Русија –  „Големата книга“ и „Јасна Полјана“.",Фикција,Гузел Јахина,Антолог,2019,432,"450,00 Денари"
Една иста река,"Реалистичен, суптилно критички, а истовремено брутално искрен и комичен роман, кој ги разоткрива приказните на три сестри: Љуба, Сара и Пирина. Поетика на маргинализираните слоеви на современото општество. Сестрите живеат во мало село близу бугарскиот град Перник.
Живеејќи на работ на мизеријата, Пирина пее, а во нејзините песни нема мелодија, ниту зборови, но тие ја лекуваат тагата; Сара често ги менува партнерите, а еден од нив дури ѝ гради црква!
Љуба толку многу чита што дури отсуствува од секојдневјето и од животот и тоа ја прави привлечна на некаков нелогичен, но интересен начин. Никогаш не влегуваме двапати во една иста река. Роман во кој реката тече не како што одлучила вселената, туку каде што ја водат ликовите.",Фикција,Здравка Евтимова,Антолог,2018,208,"350,00 Денари"
Spectator (VIII издание),"Ставот на Милорад Павиќ: „Ако сакам да го променам начинот на читањето, морам да го променам и начинот на пишувањето“ за Жарко Кујунџиски претставуваше и животна и творечка определба уште додека го пишуваше „Spectator“, и во срце, и во глава, но и на хартија.
Зашто, како и Павиќ, и покрај својата младост, знаеше дека на светот постојат многу повеќе талентирани читатели отколку талентирани писатели или литературни критичари. А читателите го кажаа своето големо ДА за овој роман.
И така спектакуларно во Библиотеката НАЈчитаните на „Култура“ многу брзо, и тоа веднаш зад „Папокот на светот“ на Венко Андоновски (2002) и „Разговор со Спиноза“ на Гоце Смилевски (2003), под број 9 (случајно или не) се најде и неговиот „Spectator“ (2004). Своето големо ДА го кажав, а и го напишав, и јас, и како читател и како критичар, со тоа што моето тогашно исчитување на овој исклучително нов роман, и композициски и (пре)раскажувачки, се вдоми и во мојата книга „Мал книжевен тестамент“ (2007).
Роланд Барт разликува два начина на читање. Првиот ја артикулира приказната и, бидејќи таа приказна е битното, преку неа едноставно се прелетува без притоа да се спознаат јазичните игри.  Вториот се приклештува за самиот текст и притоа го освојува, многу внимателно, трпеливо, копајќи по неговата знаковност на полето на јазикот, а не на полето на приказната. Препрочитувајќи го денес по 15 години од неговата првообјава, чувствувам колку зрело „Spectator“ ја дава токму таа можност за едно такво двојно читање преку кое се откриваат и неговата разгранета знаковност и неговата леснотија со која се градат и се нанижуваат приказните. Зашто „Spectator“ нуди големо задоволство од/во самиот текст. – Весна Мојсова-Чепишевска
*Книгата е достапна со потпис од авторот. Во коментар за нарачката нагласете доколку сакате да добиете потпишан примерок.",Фикција,Жарко Кујунџиски,Антолог,2018,146,"250,00 Денари"
За последен пат,"Волшебен книжевен трилер преоблечен во атмосфера на сензуалност, мистерија, страст и психолошка интрига.
Мертон, непоткуплив аргентински литературен критичар од Буенос Аирес добива понуда да отпатува во Барселона, Шпанија, за да прочита вреден необјавен ракопис. Станува збор за последниот роман на познатиот писател А, кој е на смртна постела. Негова последна желба е Мертон да ја открие мистеријата шифрирана во неговото дело, а која ќе стане книжевен клуч од капитално значење доколку сака да биде правилно разбран од идните читатели.
Сепак, Мертон ќе биде искушуван од други, далеку поприземни нешта за време на неговиот престој во луксузното живеалиште на. Наскоро сфаќа дека е заробен во љубовен триаголник со жената и ќерката на стариот писател, кои како да се натпреваруваат за неговото внимание. Малку по малку, врската меѓу тројцата станува чудна игра на љубомора, привлечност и копнеж.
Роман кој ги открива сплетките во издавачкиот свет од 1990-тите и кој ја гледа литературата преку енигмата на создавањето, заедно со магичниот однос на заведување: атрактивен и многу оригинален.",Фикција,Гиљермо Мартинес,Антолог,2023,160,"350,00 Денари"
Животот почнува во петок,"„Животот почнува во петок“ е плод на фасцинацијата што авторката ја развила кон духот на Букурешт, таков каков што бил во почетокот на 20-от век. Во текот на 13-те дена при крајот на 1897 година, еден човек е пронајден онесвестен во полињата близу градот, на „имотот Банеаса“. Никој не знае што точно е проблемот со него и секој се сомнева во нешто друго. Да не е меѓународен измамник што секако сака да го снема? Криминалец? Болен човек? Полека околу него се собираат многу луѓе: доктор и ќерката на еден полициски комесар на 8-годишна возраст, и новинари од секаде. „Животот почнува во петок“ е книга што може да се чита како роман, фантазија за патувањето низ времето, или како историски роман, но ние како читатели ги забораваме сите овие категории и ја гледаме едноставно како жив свет, полн со литература и вистина, како написи што нешто значат во светската книжевност.
Романот „Животот почнува во петок“ ја доби Европската награда за книжевност во 2013 година.",Фикција,Јоана Парвулеску,Антолог,2015,304,"300,00 Денари"
"Габриела, каранфилче и цимет","Најпознатиот модерен бразилски писател Жорже Амадо нè пренесува во времето на владетелите на какаото во бразилската провинција Баија, кога недоразбирањата се решавале со пиштоли, а од мажот што е изневерен се очекувало да ја исчисти својата чест со убивање на прељубничката и на нејзиниот љубовник.
Оваа хроника на еден град, на една страст, омаж на богатата бразилска култура, роман замислен и како химна на сензуалноста на тамошните жители, особено на жените, во последните неколку децении доживеа огромен број изданија и филмски екранизации.
Секое од поглавјата почнува со песна посветена на една жена, а, заговарајќи ја женската слобода, особено сексуалната, Амадо ја шокирал и ја разгневил тогашната бразилска јавност. Бесот со времето исчезнал, а книгата станала еден од омилените бразилски романи на 20 век. Иако бил употребен како основа за сапуници, го задржува раскажувачкото мајсторство.
„Роман способен да ја одржи во живот – низ деградации и драмата на многубројните животи – нишката надеж што се протнува помеѓу две постоења, можеби предодредени да бидат сплотени во едно.“
Џовани Тезио, Тутолибри во Ла Стампа",Фикција,Жорже Амадо,Антолог,2014,480,"400,00 Денари"
Појадок кај Тифани (III издание),"Њујорк и продавницата за скапоцен накит „Кај Тифани“ треба да спојат еден вечен сонувач и една лесна девојка што ги врти мажите на малиот прст. Дали ќе постоеше „Сексот и градот“ ако не се појавеше романот „Појадок кај Тифани“ е прашање на место. Во култниот истоимен филм Холи Голајтли ја игра Одри Хепберн, која просто брилјира во улогата на џебна Венера. Неповторлива книга што и ден-денес влијае на повеќе форми на музика, животен стил, мода, современа култура.",Фикција,Труман Капоти,Антолог,2011,128,"200,00 Денари"
Бусола,"Во текот на една бессона ноќ во Виена музикологот Франц Ритер ги оживува во своите сеќавања спомените за сопствената универзитетска кариера, за своите патувања, за миговите поминати со жената во која е вљубен. Лебдејќи помеѓу сонот и сеќавањата, ги преиспитува својата фасцинација за Блискиот Исток и многуте патувања во Истанбул, Алепо, Дамаск и во Техеран, како и многуте писатели, уметници, музичари, ориенталисти и истражувачи, кои го надополнуваат овој огромен сон. Во центарот на овие сеќавања е неговата неостварена љубов, Сара, француска научничка.
Возбудлива и убедлива ерудиција, со зачудувачки референции на композитори од деветнаесеттиот век и езотерични ориенталисти. Како да ги поврзал Балзак и Агата Кристи на еден магичен начин! Извонреден, моќен, музички роман, полн со горчливо-сладок хумор. Потрага по другоста, мостот помеѓу Истокот и Западот, вчера и утре.",Фикција,Матијас Енар,Антолог,2018,464,"450,00 Денари"
Круг ,"Застрашувачка визија на блиската иднина во која приватноста исчезнува, а со светот владее корпорација моќна како „Гугл“, „Фејсбук“ и „Твитер“ заедно. Откако ќе ја вработат во „Кругот“, Меј Холанд сфаќа дека ѝ се укажува животна шанса. „Круг“, со седиште во Калифорнија, ги поврзува личните електронски адреси, профилите на друштвените мрежи, услугите на онлајн-банкарството и пазарот, со својот универзален оперативен систем, создавајќи онлајн-идентитет за секого, со што почнува нова доба на транспарентност.

Меј одушевува со своите идеи во компанија каде што се одржуваат целодневни забави, се организираат спортски настани и ручеци, познати музичари свират во паркот, а има дури и аквариум со ретки риби, за што е заслужен генералниот директор.
Она што почнува како приказна за една млада амбициозна жена полна со идеали набргу станува возбудлив роман полн со неизвесноти, кој ги отвора прашањата за важноста на сеќавањето, историјата, приватноста, демократијата и на границите на човековото знаење.
Општеството од блиската иднина е прикажано како доброволна антиутопија чии граѓани со одушевување потпишуваат секој миг од новиот живот да биде сниман од окото на камерата, а на децата да им бидат вградени сигурносни чипови. Дејв Егерс е еден од водечките американски автори и со овој роман застанува рамо до рамо со класиците како „1984“ на Џорџ Орвел, „Храбриот нов свет“ на Олдус Хаксли или „Ние“ на Евгениј Замјатин.
Истиоимениот филм на Џејмс Понсолд од 2017 година е со Ема Вотсон и Том Хенкс во главните улоги.",Фикција,Дејв Егерс,Антолог,2017,416,"500,00 Денари"
Блиски песни од далечната Австралија,"Ова е четвртата книга од едицијата „Нови планети“ на издавачот  „Антолог“,  која  донесува пет „патешествени збирки“ со песни инспирирани од многубројните патувања на писателот Саво Костадиновски. Преку пишуваниот збор, преку неговата експресивност и моќ, и најдалечните и најнепознатите предели и градови – ни стануваат блиски и  познати. Дури и оние распослани преку „големите бари“, океаните, каква што е далечната  Австралија…",Фикција,Саво Костадиновски,Антолог,2015,34,"200,00 Денари"
Бившиот тапанар,"Според романот „Бившиот тапанар“ е снимен истоимениот филм од 2007 година. Тројца инвалиди бараат тапанар за учество на музички натпревар и тропнуваат на вратата на ликот што раскажува. Тој прифаќа и оттогаш почнува историјата на најлошиот рок-состав што кога било свирел во Гент. Книгата е полна со вулгарности, насилност, валкани сцени, бруталности, уметничка ексцентричност, свингери. Од „песни глупави лесни“ до линии кокаин се движи приказната на оваа цинична книга.
„Хуморот е вулгарен ’до даска‘. Ова е дело на болен ум, а веројатно таквите луѓе и најлесно ќе го читаат.“
Хумо, Белгија",Фикција,Херман Бриселманс,Антолог,2014,144,"200,00 Денари"
Роден крај со срце,"Прекрасни раскази од дводомниот писател Саво Костадиновски, кој пишува и објавува на македонски и на германски јазик. Во нив се отсликани токму такви теми: за децата што зборуваат на различни јазици, сепак тоа, и сето друго што ги разликува, не ги поматува нивните игри и дружењето, давајќи вистински примери за разбирање и соживот од кои можат да учат и возрасните.",Фикција,Саво Костадиновски,Антолог,2016,214,"250,00 Денари"
Баба ми ве поздравува и ви се извинува,"Шармантен роман за девојче чија баба умира и остава зад себе серија писма, испраќајќи ја малата внука на патување што го оживува светот на бајките измислен од нив двете.
Елса има седум години и е поинаква од своите врснички. Нејзината баба има седумдесет и седум години и е тотално откачена. На пример, има навика од својот балкон да гаѓа непознати луѓе со пејнтбол-топчиња. Две различни, а блиски перспективи. Бабата е најдобрата другарка на Елса. Всушност, единствената другарка.
Ноќе Елса се засолнува во приказните на баба си, во чудесната Земја на речиси будните и во кралството Мијама, каде што сите се поинакви и никој не мора да биде нормален. Кога бабата умира, остава куп писма со кои им се извинува на луѓето на кои им згрешила во животот. Со писмата започнува најголемата авантура на Елса.
Со комична точност и со исцртување сосема нова реалност, Бакман нуди приказна за животот и смртта и за едно од најважните човекови права: правото да се биде различен!",Фикција,Фредрик Бакман,Антолог,2018,416,"500,00 Денари"
Убиство во хотел Босфор,"Романот е првиот од серијата крими-трилери со ликот на Кати Хиршел, потпишани од писателката Есмахан Ајкол. Кати се доселила во Истанбул од Германија и отворила своја книжарница, каде што се продаваат исклучиво криминалистички романи. Наскоро во блискиот хотел се случува убиство во кое е вклучена и нејзина пријателка. Така што, истрагата станува нејзин интерес.
„Не ќе можете да ја испуштите од раце“. – Филип Деларош, Лир",Фикција,Есмахан Ајкол,Антолог,2014,192,"240,00 Денари"
Раски и маски,"„Раски и маски“: кратки драмски текстови од богатата и разновидна творечка продукција на Александар Кујунџиски. Збиркава содржи четири драмски текстови со мошне разновидни тематски содржини, кои се движат од оние со шеговита, хумористична интонација до оние што застапуваат и поведуваат теми со сосема поинаква насоченост и преокупираност. Ќе биде добредојдена во секоја градска и училишна библиотека, за аматерските и професионалните театарски екипи како „фрлена ракавица“ за сценски и радиодрамски предизвици.",Фикција,Александар Кујунџиски,Антолог,2018,70,"200,00 Денари"
Жената на маестрото (I издание),"Двајца мажи губат глава околу една прекрасна дама од високите кругови. Бидејќи и двајцата се писатели, судирот се проширува и во професионална смисла. Што сè прават за да најдат инспирација. Едноставно раскажана книја која долго се памети и одново се препрочитува. Роман натопен во шпанска сензуалност и со енигматична загатка која читателот треба сам да ја открие.",Фикција,Гиљермо Мартинес,Антолог,2009,128,"240,00 Денари"
Само таа остана,"Сите мислат дека Ленора Хоуп е убиец.
Кога нејзиното семејство било масакрирано, таа била единствената што останала жива во текот на трагичната ноќ.
Повеќе од пет децении подоцна, нема и парализирана, седи врзана за инвалидска количка. Ленора никогаш немала можност да ја каже својата страна на приказната, сè додека нејзината нова негувателка, Кит, не ѝ донесе дактилографска машина. Со еден функционален прст, Ленора почнува да пишува: „Сакам да ти кажам сè.“
Додека Кит ѝ помага на Ленора со пишувањето, станува јасно дека приказната крие повеќе од тоа што сите мислат. Но, кога на виделина излегуваат нови детали, Кит почнува да се сомнева дали Ленора ја кажува целата вистина. Дали жената за која се грижи можеби е многу поопасна одошто си мисли?",Фикција,Рајли Сејгер,Антолог,2024,368,"500,00 Денари"
Менталист,"НОВ ИНТЕРНАЦИОНАЛЕН ТРИЛЕР ФЕНОМЕН
Во забавен парк на периферијата на Стокхолм се појавува тело на брутално убиена жена во кутија избодена со мечеви. Додека полицијата е збунета, новинарите го нарекуваат убиецот Худини. Дали се работи за магионичарски трик што тргнал наопаку или за шокантно садистичко убиство? Злосторство какво што детективката Мина Дабири не видела досега. И тоа е само почеток…
Како што се продлабочува мистеријата за бруталното убиство, Мина бара помош од познатиот менталист Винсент Волдер. Само тој може да ѝ го претстави тајниот свет на илузиите. Наскоро откриваат дека жртвата го има изгравирано римскиот број III на ногата. Одбројување? Да, ќе има уште убиства. А и Винсент и Мина имаат мрачни тајни, така што станува очигледно дека и нивното минато е поврзано со она што се случува. Времето тече, а темпото станува сè побрзо.
Камила Лекберг и Хенрик Фексеус ги здружија силите во неверојатниот енигматичен трилер, претставувајќи една друга страна на овој жанр, полн со трикови, илузии и безмилосни убиства.",Фикција,Камила Лекберг,Антолог,2022,592,"650,00 Денари"
Тишини,"Романот „Тишини“ е првообјавениот роман на еден од најважните светски писатели на дваесеттиот век, Меша Селимовиќ. За својот првообјавен роман Селимовиќ ќе каже: „Од 1951 до 1961 година настапи период на молчење. Малку обесхрабрен, малку незадоволен од тоа што го пишував, се подготвував за големата пресметка со самиот себе. Сè уште неподготвен да напишам роман за убиениот брат, пишував други работи. Во 1961 година е објавен романот ’Тишини‘. Тишини. Роман за човек што излегува од војната, кој во војната изгубил сè и кому му се создаваат страшни тишини на преминот од едниот во другиот живот. Иако романот е пишуван во прво лице и има форма на исповед, не е автобиографски. Но дилемите за кои зборуваат Тишините беа дилеми на многумина од нас кога се вративме од војната. Проблемот е морален и се сведува приближно на прашањето: што губи човекот кога го губи своето лично и што добива во заедничката придобивка.“",Фикција,Меша Селимовиќ,Антолог,2021,200,"300,00 Денари"
Залудно бегство,"Како старото злато да го претворите во бесценето богатство?
На крајот од XIX век, Сигурлина се наоѓа во безизлезна ситуација. Пораснала без мајка, покрај татко ексцентрик кој очекува неговата ќерка да го помине животот помагајќи му при каталошката обработка на исландските археолошки артефакти. Но Сигурлина копнее за образование и возбуда, така што ја зема судбината во свои раце. Еден ден одеднаш исчезнува од Рејкјавик со историска реликвија од збирката на татко ѝ. Преку низа неверојатни настани, артефактот е откриен во музејот „Метрополитен“ во Њујорк. Во меѓувреме, исландската полиција започнува истрага за кражбата.
„Залудно бегство“ е опишан како модерна пикарска приказна за зачувувањето на културното богатство. Романот пружа интригантен поглед на тоа како нештата го стекнуваат своето место во историјата и плете интересна приказна за човечките судбини врз кои почива таа историја.
За овој роман, Паулсдотир ја добива и престижната Награда за литература на Европската Унија за 2021 година.
Книгата е објавена во рамки на проектот Made in Europe: The power of diversity / Создадено во Европа: Моќта на различноста (ко-финансиран од програмата Креативна Европа на Европската Унија).",Фикција,Сигрун Паулсдотир,Антолог,2024,180,"300,00 Денари"
Дебитант,"„Дебитант“ е совршен, смртоносен отров, кој не остава траги.
Неговиот создател, хемичарот Калитин, работел во тајната советска лабораторија, но по распаѓањето на Советскиот Сојуз избегал на запад. Потполковниот Шершнев добива наредба да го отруе предавникот со истиот отров што тој го создал…
Трилерот „Дебитант“ е книжевна студија за отровите како алатка на советските и руските разузнавачки служби, а истовремено брилијантна проза за современиот Фауст, кој му ја продал душата на ѓаволот, како и за вечните теми: суштината на доброто и злото, врската меѓу творецот и неговата творба, науката и моралот.
„Сергеј Лебедев е прекрасен писател, кој поседува две ретки дарби: благороден стил и најпрефинета внатрешна оптика, која му овозможува да ја види и почувствува сета длабочина на антрополошката катастрофа што се случила во Русија во двесетти век. Лебедев успеал да го види она што останало невидливо за повеќето советски и постсоветски писатели.“  – Владимир Сорокин, руски писател
„Прозата на Лебедев, бившиот геолог, го открива она што е скриено под земјата: внатрешниот живот на минатите генерации, погребан под слоевите на официјалните митови и самозалажување… Чуден дуализам, кој им овозможува на татковците полни со љубов дење да му служат на тиранот, а ноќе грижливо да ги покриваат своите деца со ќебиња.“ – Лук Хардинг, британски писател и новинар
„Книгите на Лебедев се за една историја што како сенка лежи врз сето она за што тој пишува. Ваквиот интензитет на нејзиното присуство зборува за тоа дека конфликтите и контрадикторностите што се втемелени во неа до денешен ден не се разрешени и сè уште влијаат врз руското општество – можеби не толку очигледно, но доволно силно.“ –  Карл Уве Кнаусгор, норвешки писател",Фикција,Сергеј Лебедев,Антолог,2022,240,"350,00 Денари"
28 лета,"Кога Линк, синот на Малори Блесинг, ќе добие барање од мајка си да се јави на еден телефонски број испишан на парче хартија во нејзината фиока, не знае што да очекува. Но сигурно не очекува дека ќе се јави Џејк Мекклауд. Доцна пролет е во 2020 година и сопругата на Џејк е кандидатка за претстедателските избори. Мора да е грешка, помислува Линк. Од каде би се познавале Малори и Џејк?
Кратката летна викенд-романса од пред  дваесет и осум години се претворила во афера што трае исто толку време. Малори и Џејк се сретнуваат еднаш годишно, на само еден викенд, и тоа на исто место и во исто време. Не можејќи да бидат заедно поради сплет на околности, меѓу кои и долгогодишната врска на Џејк што подоцна преминува во брак, двајцата решаваат дека ова е единствениот начин на кој би можеле да функционираат. Во меѓувреме, и двајцата си имаат свој засебен живот од кој гледаат бегство само во тој магичен летен викенд. Но дали нивните вистински животи можат да постојат независно и незасегнати од оваа романса? По дваесет и осум години поминати во слатка агонија и исчекување, ова лето ќе се смени сѐ.
Од бестселер-авторката на ТРАЧ",Фикција,Елин Хилдербранд,Антолог,2021,416,"500,00 Денари"
