Наслов,Опис,Kатегорија,Автор,Издавач,Година,Страници,Цена
Апнеја,"На самиот почеток на Апнеја (2013) го среќаваме младиот Лоренцо со лицето нурнато во мекиот јануарски снег, има вртоглавица и не може да дише. По удар во столб од жичарница, останува квадриплегичар и животот му се превртува наопаку. Апнеја раскажува за болката луцидно, без мелодраматични тонови, а на моменти дури и изнудува насмевки.
Амури, небаре води дневник, раскажува за периодот минат во болница во Италија и во една специјализирана клиника во Цирих, за многубројните операции, за мачната рехабилитација и за меѓучовечките односи изродени од болката.
По враќањето во семејниот дом во Рим, мора да се соочи со еден нов свет, каде што наеднаш сè му е надвор од дофат и сите се станати многу повисоки, страшни џинови со впечатливи сенки. Лоренцо тоне во самосожалување, па неговата девојка Јохана, која останува покрај него по несреќата, се одлучува да го напушти, а тој решава да се самоубие
. Или, пак, можеби нешто ќе го поттикне одново да ја освои и да си го поврати животот?
Во 2013 година Апнеја бил финалист за наградата „Стрега“, а ја добил и Наградата за литература на Европската Унија (2015).",Фикција,Лоренцо Амури,Антолог,2018,256,"300,00 Денари"
Под туѓо сонце,"Овој роман донесува впечатлива приказна за судирите помеѓу личните и општествените вредности, нагласувајќи ја борбата за автентичност.

Приказната почнува една дождлива ноќ, во такси-возилото број 382, кога Коста Рашиќ, пензиониран мајор, решава да тргне на пат за Крф. Откако ја продал куќата во која израснал за да ги врати долговите, за првпат ќе зачекори надвор од границите на својата земја, во потрага по вистината, неговото единствено преостанато прибежиште.
Случајната средба со Марија, таксистка што таа ноќ ќе стане негов придружник, ќе го предодреди сето тоа што потоа ќе се случи „под туѓо сонце“.
Коста сака да се соочи со себе и со остатоците од својот живот, а Марија сака да избега од себе и од својот живот.
Точката што ги раздвојува ќе стане точка во која ќе се сретнат нивните сеќавања. Во исто време, таа ќе го придвижи невидливиот животен механизам, во кој секогаш се открива дека сè е возможно.

Нивната приказна открива како поединецот се справува со предизвиците во светот што често не пружа втора шанса. Со елементи на драма и интроспекција, најновиот роман на Миодраг Мајиќ се издвојува како дело што го плени вниманието и поставува прашања за правдата, љубовта и одговорноста.",Фикција,Миодраг Мајиќ,Антолог,2025,286,"450,00 Денари"
Творецот на ангелите,"„Творецот на ангелите“ е книга во која се мешаат науката, секојдневните трачеви, религијата, доброто и злото, како и човековата потрага по вечниот живот. Читаме различни книги во текот на животот, но малку се такви што оставаат толку силен впечаток што ќе ги паметиме засекогаш. „Творецот на ангелите“ е таква ретка книга, наградена со многу престижни признанија, меѓу кои и „Златен був“, награда што се доделува еднаш во пет години.",Фикција,Стефан Брејс,Антолог,2015,384,"350,00 Денари"
Грешни уживања,"Ветеринарот Павел Кохутек е познат како женкар што постојано е во потрага по жени пред кои лесно „сее“ емоции. Најпосле, една од нив (Јустина) го сфаќа сериозно и се појавува сосе своите куфери во неговиот дом на село. Не знаејќи што да стори, Кохутек ја носи на таванот на една напуштена месарница, обидувајќи се да ја скрие од својата прекрасна и образована жена, нивното дете, родителите, бабата и од другите сограѓани. Таму ѝ носи храна и вода, но тешко му оди долго време да ја држи „сегашната швалерка“ скриена. Фрустрирана од оваа ситуација, Јустина го напушта таванот и се појавува пред семејството додека вечераат…",Фикција,Јежи Пилх,Антолог,2015,118,"200,00 Денари"
Со Ботуше во Париз,"Париз, Париз… Светска метропола што плени со своите убавини и културно-историски споменици. Но очевидецот на овие прекрасни восхитни глетки, кои ги преточил во впечатливи лирски пејзажи, го вознесува уште нешто… Понесен од носталгични чувства, и при престојот таму – не може да го заборави своето родно место Ботуше, крај Македонски Брод…",Фикција,Саво Костадиновски,Антолог,2015,34,"200,00 Денари"
,Прво издание на веќе култниот роман Spectator.,Фикција,,Антолог,2003,208,"150,00 Денари"
Елиза на единаесет години,"Во едно село во близината на Букурешт, доаѓа до вистинска хистерија во моментот кога жителите дознаваат дека Елиза (девојче на 11-годишна возраст) има сифилис. Во текот на обелоденувањето на други случаи на сифилис, девојчето е обвинето дека го заразило, ни повеќе ни помалку, целото село. Постепено, медиумите, властите, родителите и обичните граѓани бараат Елиза да биде казнета, со што таа станува главен општествен непријател. Намуртена и самостојна, Елиза го покажува својот цврст карактер, однесувајќи се како зрел човек. Во Италија книгата ја споредуваат со Чума на Албер Ками.
Романот Елиза на 11 години е добитник на наградата Јон Креанга од страна на Романската академија (2009) и во моментов според него се снима филм.",Фикција,Дојна Рушти,Антолог,2015,256,"250,00 Денари"
Гранд хотел Европа,"Маестрално дело за стариот континент, каде што има толку многу историја што не останува место за иднината и каде што вистинските перспективи се нудат единствено преку експлоатирање на минатото за туристички цели.
Писател отседнува во прочуениот, но декадентен „Гранд хотел Европа“, за убаво да размисли каде згрешил со својата голема љубов Клио, која ја запознал во Џенова, а потоа отишле да живеат во Венеција. Тој ја реконструира трогателната приказна за љубовта во времиња на масовен туризам, за нивните патувања на Малта, Палмарија, Портовенере, Чинкве Тере, и нивната возбудлива потрага по последната слика на Караваџо.
Во меѓувреме, развива фасцинација за мистериите на „Гранд хотел Европа“ и сè повеќе се поврзува со незаборавните ликови што престојуваат таму. Се чини дека тие се заглавени во други времиња наспроти глобализацијата што се шири насекаде.
Ова е роман за европскиот идентитет и носталгијата за крајот на една ера. Изненадувачки или не, но Илја Леонард Фајфер еден дел од книгата сместува и во Скопје, каде што престојувал неколку дена во 2017 година.",Фикција,Илја Леонард Фајфер,Антолог,2021,640,"650,00 Денари"
Срцето на човекот,"3# трилогија Помеѓу рајот и пеколот
Откако ќе се спасат од снежната бура која безмалку ги чини живот, Јенс и момчето ќе се најдат далеку од дома, во една рибарска заедница на крајот од светот. По престојот во домот на селскиот доктор, момчето повторно има чувство како да е вратено од мртвите. Но, ова е чудно место, со жители кои како да не припаѓаат на овој свет. Меѓу нив е и Алфхеидур со огнената коса, поради која тој се запрашува дали е можно да се биде вљубен во две жени истовремено; тој верува дека срцето му е ветено на Рагнхеидур, ќерката на богатиот трговец во селото во кое тој мора секако да се врати.
Со дејство во дивината на екстремниот север која предизвикува страхопочит, „Срцето на човекот“ е едно длабоко истражување на животот, љубовта и желбата, напишана со возвишена едноставност. Во овој заклучок на смелата трилогија, Стефансон го вклучува своето поетско око и философски увид во приказна која е вредна за дамнешните писатели на саги.
„Задлабочувачката проза на Стефансон грми и светка со сите променливи расположенија на морето на исландски летен ден…“ ― Бојд Томкин, Индепендент",Фикција,Јон Калман Стефансон,Антолог,2022,304,"400,00 Денари"
Spectator (англиски),"Доколку имате желба да подарите еден репрезентативен примерок од македонската литература на странец, да види што и како пишуваат авторите од Македонија, тогаш тоа е оваа книга.
The BEST selling debut novel in contemporary Macedonian literature for the first time is translated in English language.
“The book itself makes you read it, and you almost won’t realise when it has ended.”",Фикција,Жарко Кујунџиски,Антолог,2011,160,"300,00 Денари"
Зарем плачеше?,"Катрина, 16-годишна девојка од Рига. Преполна фантазии и немир. Но тој младешки немирен дух се менува откако ќе помине едно лето во планинарски логор на Кавказ, каде што го запознава Олег, нејзиниот инструктор, во кого се вљубува. Рукшане раскажува за првата, голема, младешка љубов, крајот на детството во време на значајни политички превирања во Советскиот Сојуз. Суптилно, но директно и искрено раскажување на млада девојка во годините кога многу важни нешта прекуноќ го менуваат текот на животот.",Фикција,Даче Рукшане,Антолог,2015,184,"250,00 Денари"
Слепиот масер,"Уште како ученик Теодор патувал низ романските села и ги слушал приказните на суеверните селани. Сега како успешен маж од западот се враќа назад во својата татковина за да дознае дали таму би бил посреќен. И за повторно да ја најде својата љубов од младоста. На крајот од сите улици, наидува на слепиот масер и на неговите пријатели. Теодор е фасциниран од местото каде што пациентите,селаните, па дури и градоначалникот, снимаат на касети дела од светската литература. Сепак, сите не се толку гостољубиви како убавата Елена, кај која престојува. Набрзо запаѓа во мрежа од подмолност, корупција и од насилство.",Фикција,Каталин Доријан Флореску,Антолог,2015,272,"250,00 Денари"
Вештерката и дождот,"Забранет роман во Литванија, кој стана европски бестселер! Трите приказни водат во различни периоди од историјата. Една жена е спалена како вештерка во средниот век. Една современа интелектуалка е заљубена во католички свештеник. А љубовта на Марија Магдалена кон Исус Христос е прикажана од полнокрвен женски агол… Ова е најпродаваната книга во Литванија на сите времиња, а била и бестселер во Германија. Власта ја прогласила за шунд и порнографија, па се продавала само во секс-шопови. Авторката неколку пати била приведена и малтретирана од полицијата, по што била принудена да ја напушти својата држава.",Фикција,Јурга Иванаускаите,Антолог,2016,288,"300,00 Денари"
Е. Е.,"Ерна Елцнер е петнаесетгодишно девојче во едно германско-полско семејство што живее во Вроцлав на преминот од 19 во 20 век. Животот на Ерна не е лесен бидејќи таа не се истакнува, повлечена е и срамежлива, па никој не ѝ обрнува особено внимание. Сѐ додека еден ден, за време на ручекот, не здогледува дух…
Пројавувањето на таинствените способности го привлекува вниманието на повеќе луѓе блиски на семејството, од лекари, психијатри, психолози, до скептици, окултисти, аматерски трагачи на загубени души. Авторката ги вклучува окултното, гностиката, мистеријата, теозофското итн. Вистинската вредност на романот е да го врати интересот на човековата единка кон својата духовна димензија и мистеријата што ја поседува.",Фикција,Олга Токарчук,Антолог,2014,192,"250,00 Денари"
Сведок,"Еден петнаесетгодишен бродски прислужник од XVI век патува од Шпанија кон Новиот свет. Само тој преживува по еден напад во дивата страна на светот. Десет години живее како заробеник на Индијанците, сведочејќи ги нивниот живот и нивните канибалистички прослави. Индијанците ловат жртви од соседните племиња или од поморските истражувачи, а потоа ги печат и ги јадат. На крајот, се препиваат и почнуваат толку луда оргија, по која им требаат месеци и месеци да се вратат во живот. Но најчудното од сè е тоа што домородците секогаш оставаат еден преживеан. Сведок.
„Овој прекрасно напишан роман освојува на прв поглед.“ – Индепендент",Фикција,Хуан Хосе Саер,Антолог,2015,160,"200,00 Денари"
Возот за Самарканд,"Во 1923 година болшевичката влада одлучила околу 150 000 напуштени деца итно да бидат евакуирани во провинции во кои имало повеќе храна и каде што можеле полесно да преживеат. 
По граѓанската војна во Русија, искусниот командир Деев и строгата комесарка Бела организираат евакуација на петстотини бездомни деца од Казањ за Самарканд. Деев, како современ Одисеј, Херкул или Јасон, му се спротивставува на апсолутното Зло, кое се појавува во разни облици: глад, смрт, болест или убиства. Во очите на децата, во текот на шесте недели од патувањето, се нижат возбудливи и опасни авантури низ непрегледните пространства што треба да ги изминат. А патот е немилосрден и се претвора во лавовска битка за секој залак храна, за секоја голтка вода – вистинска битка за живот. Илјадниците изминати километри ќе го сменат животот на сите патници, а книгата која изобилува со потресни и ведри сцени, гарантирано ќе допре до срцата на сите читатели. 
Гузел Јахина уште еднаш го докажува својот талент за раскажување, навлегувајќи во болните теми од минатото на Русија, што несомнено се одразиле и на современото општество. Вештината на нејзиното маестрално пишување јасно се одразува на секоја страница на романот кој зрачи со животна сила.",Фикција,Гузел Јахина,Антолог,2023,480,"600,00 Денари"
Ракопис за вториот настанок,"Култниот шпански режисер Бигас Луна починал во период кога ја правел филмската адаптација за „Ракопис за вториот настанок“, книга во која се прикажува големата апокалипса. По крајот на светот, нормално, доаѓа новиот почеток, во кој иднината на човештвото е во рацете на една штотуку полнолетна девојка и едно 12-годишно момче, кои се чинат единствените преживеани. Седејќи и гледајќи кон мртвиот град што лежи под нивните нозе како апокалиптички пејзаж, прават план за својот живот во иднината. Ова ремек-дело е прв обид на авторот Педроло во научнофантастичниот жанр, со кој веднаш стана задолжителна лектира во шпанските училишта.",Фикција,Мануел де Педроло,Антолог,2014,160,"200,00 Денари"
Животинска фарма,"Една фарма е под окупација на преуморни и малтретирани животни. Со жесток идеализам и со разгорувачки пароли, животните тргнуваат во бунт со идеја да создадат напредок, правда и еднаквост. Смелата борба иницирана од животните ја претвора фармата во целосно демократско општество изградено врз идејата дека сите животни се создадени еднакви. Но дали е сѐ токму така? На крајот, сепак бунтот пропаѓа, а фармата завршува во уште полоша состојба од претходно, под диктатурата на свињата по име Наполеон.
Една од најпознатите сатирични басни што некогаш била напишана. Бајка за возрасни, за револуцијата против тиранијата и за тоталитарните режими.
„Животинска фарма“ е книга што се најде на 31. место на листата на најдобри романи од XX век.",Фикција,Џорџ Орвел,Антолог,2021,128,"200,00 Денари"
Шинела и други раскази,"Прозата на Николај В. Гогољ стои во основите на модерната европската литература, како претходник на Франц Кафка, но и како мајстор на гротеската.
Гогољ живее и твори на преминот меѓу две големи книжевно-историски епохи романтизмот и реализмот, при што неговите дела ги имаат карактеристиките на двата правци. Извршил големо влијание на подоцнежните руски реалисти, но и на модернистите. Иако расказите му се проникнати со типично руска атмосфера, успеал да создаде општочовечки и универзални дела. Гогољ ни укажа на сличностите на нашиот свет со пеколот, на истоветноста меѓу сонот и јавето, на алогичното и баналното како клучни во нашето постоење, на невозможното како возможно и на тенката линија што го дели лудилото од уметноста. Полни со имагинација и безвремени, неговите раскази остануваат свежи и значајни денес исто толку колку што биле во времето кога се појавиле.
Од „Виј“ и „Нос“ до „Портрет“ и „Шинела“, оваа збирка ни ги носи осумте раскази на Гогољ кои се вброени во класичните дела на руската и светската литература.",Фикција,Николај В. Гогољ,Антолог,2024,288,"400,00 Денари"
